Item ID,Container ID,Coordinates (W1,D1,H1),(W2,D2,H2)
000011,NA03,(1.0,3.0,0.0),(1.113,3.318,0.43700000000000006)
000016,NA01,(1.0,1.0,0.0),(1.449,1.11,0.14400000000000002)
000026,A01,(0.0,1.0,0.0),(0.465,1.467,0.256)
000035,G02,(0.0,2.0,0.0),(0.262,2.468,0.273)
000052,NA03,(1.0,2.0,0.0),(1.347,2.148,0.384)
000059,PB03,(0.0,0.0,0.0),(0.373,0.19699999999999998,0.42700000000000005)
000150,SB03,(0.0,0.0,0.0),(0.156,0.205,0.166)
000005,ES04,(0.0,0.0,0.0),(0.23199999999999998,0.316,0.182)
000008,LS04,(0.0,0.0,0.0),(0.392,0.13,0.36700000000000005)
000018,C001,(1.0,0.0,7.0),(1.154,0.358,7.227)
000036,CQ04,(0.0,1.0,0.0),(0.425,1.462,0.494)
000060,ES02,(0.0,0.0,0.0),(0.484,0.175,0.113)
000067,C02,(0.0,1.0,0.0),(0.17,1.125,0.45899999999999996)
000177,C04,(0.0,1.0,0.0),(0.166,1.395,0.47100000000000003)
000186,LS01,(0.0,0.0,0.0),(0.10300000000000001,0.11900000000000001,0.193)
000291,testContainer,(0.0,0.0,1.0),(0.139,0.38799999999999996,1.347)
000313,G03,(0.0,3.0,0.0),(0.106,3.472,0.14400000000000002)
000388,wasteContainer,(1.0,1.0,0.0),(1.186,1.153,0.141)
000326,EA03,(0.0,1.0,0.0),(0.11699999999999999,1.197,0.18)
000347,testContainer,(1.0,0.0,1.0),(1.212,0.27399999999999997,1.181)
000466,G03,(0.0,1.0,0.0),(0.414,1.18,0.156)
000570,CC01,(0.0,1.0,0.0),(0.327,1.197,0.301)
000713,A02,(0.0,0.0,0.0),(0.145,0.47100000000000003,0.217)
000664,SB01,(0.0,0.0,0.0),(0.115,0.155,0.242)
000835,L01,(0.0,2.0,0.0),(0.23399999999999999,2.123,0.287)
000836,EA02,(0.0,0.0,0.0),(0.488,0.11800000000000001,0.276)
000841,C005,(1.0,0.0,7.0),(1.152,0.293,7.114)
000851,C01,(0.0,0.0,0.0),(0.402,0.305,0.113)
000870,C01,(0.0,1.0,0.0),(0.475,1.151,0.26)
000890,PB05,(0.0,0.0,0.0),(0.16399999999999998,0.491,0.434)
000891,C005,(2.0,0.0,7.0),(2.169,0.182,7.16)
000899,C003,(4.0,0.0,9.0),(4.149,0.363,9.299)
000942,PB01,(0.0,0.0,0.0),(0.475,0.40399999999999997,0.37)
000920,C03,(0.0,0.0,0.0),(0.149,0.262,0.397)
000923,C004,(1.0,0.0,11.0),(1.125,0.27,11.35)
000963,SB04,(1.0,1.0,0.0),(1.297,1.176,0.166)
000965,CQ01,(0.0,2.0,0.0),(0.11800000000000001,2.111,0.213)
000966,C001,(4.0,0.0,7.0),(4.179,0.221,7.243)
001322,testContainer,(0.0,1.0,0.0),(0.35700000000000004,1.157,0.348)
001350,testContainer,(0.0,1.0,1.0),(0.23399999999999999,1.269,1.145)
001549,A03,(0.0,3.0,1.0),(0.11800000000000001,3.172,1.483)
001570,G01,(1.0,0.0,0.0),(1.191,0.12300000000000001,0.165)
001760,C003,(5.0,0.0,9.0),(5.485,0.272,9.122)
001761,MB01,(0.0,0.0,0.0),(0.139,0.439,0.223)
001768,L01,(0.0,1.0,0.0),(0.182,1.163,0.12)
001438,PB02,(0.0,0.0,0.0),(0.441,0.15,0.256)
001771,TA01,(0.0,0.0,0.0),(0.305,0.381,0.48)
001787,C004,(6.0,0.0,11.0),(6.487,0.428,11.386)
001859,C04,(0.0,0.0,0.0),(0.13699999999999998,0.35600000000000004,0.379)
001877,CC02,(0.0,1.0,0.0),(0.106,1.44,0.20199999999999999)
001468,LS01,(0.0,1.0,0.0),(0.17300000000000001,1.285,0.836)
001894,C002,(0.0,0.0,5.0),(0.359,0.36200000000000004,5.397)
001906,EA01,(0.0,0.0,0.0),(0.121,0.23800000000000002,0.17800000000000002)
001924,ES03,(0.0,0.0,0.0),(0.135,0.435,0.48200000000000004)
001930,ES02,(0.0,1.0,0.0),(0.191,1.335,0.297)
001940,C003,(3.0,0.0,9.0),(3.229,0.184,9.424)
001961,LS03,(0.0,0.0,0.0),(0.315,0.32899999999999996,0.425)
001996,C003,(0.0,0.0,9.0),(0.381,0.18600000000000003,9.343)
I008,C003,(0.0,0.0,0.0),(3.0,2.0,2.5)
000498,G03,(0.0,2.0,0.0),(0.14400000000000002,2.266,0.261)
000590,NA03,(0.0,0.0,0.0),(0.495,0.41100000000000003,0.41)
000493,LS02,(0.0,0.0,0.0),(0.122,0.29100000000000004,0.191)
000633,NA03,(1.0,1.0,0.0),(1.249,1.312,0.466)
000755,NA01,(0.0,1.0,0.0),(0.233,1.165,0.19399999999999998)
000776,A02,(0.0,1.0,0.0),(0.222,1.245,0.878)
000815,EA02,(0.0,3.0,0.0),(0.40399999999999997,3.194,0.324)
000784,SB01,(0.0,1.0,0.0),(0.11599999999999999,1.149,0.146)
000951,PB02,(1.0,0.0,0.0),(1.259,0.17300000000000001,0.281)
000957,SB02,(0.0,0.0,0.0),(0.242,0.278,0.248)
000988,SB04,(1.0,0.0,0.0),(1.299,0.122,0.26899999999999996)
001041,EA02,(0.0,2.0,0.0),(0.478,2.199,0.429)
000070,A01,(0.0,1.0,1.0),(0.168,1.141,1.106)
000084,NA02,(0.0,0.0,1.0),(0.12300000000000001,0.29100000000000004,1.156)
000135,G02,(0.0,0.0,0.0),(0.34,0.228,0.45799999999999996)
001083,C05,(0.0,0.0,0.0),(0.14800000000000002,0.105,0.33799999999999997)
001275,SB04,(0.0,0.0,0.0),(0.179,0.264,0.217)
001304,NA03,(0.0,1.0,0.0),(0.433,1.221,0.419)
001353,G02,(0.0,3.0,0.0),(0.247,3.385,0.17600000000000002)
001396,NA02,(0.0,1.0,1.0),(0.162,1.264,1.129)
001486,NA01,(0.0,0.0,0.0),(0.21600000000000003,0.204,0.36)
001520,G01,(0.0,1.0,0.0),(0.42100000000000004,1.443,0.282)
001543,PB03,(0.0,1.0,0.0),(0.257,1.432,0.248)
001544,SB03,(0.0,1.0,0.0),(0.275,1.499,0.40299999999999997)
001783,NA03,(0.0,3.0,0.0),(0.114,3.451,0.32299999999999995)
001834,G03,(0.0,0.0,0.0),(0.971,0.606,0.022000000000000002)
001845,NA03,(0.0,2.0,0.0),(0.22899999999999998,2.258,0.46)
000068,G01,(0.0,0.0,0.0),(0.299,0.138,0.136)
001361,test_container,(0.0,0.0,0.0),(0.43700000000000006,0.175,0.259)
000079,EB01,(0.0,0.0,0.0),(0.419,0.307,0.32)
000081,EA01,(0.0,1.0,0.0),(0.261,1.279,0.121)
001463,G04,(0.0,1.0,0.0),(0.17800000000000002,1.25,0.27899999999999997)
000088,L01,(0.0,0.0,0.0),(0.192,0.19,0.289)
000098,C03,(0.0,1.0,0.0),(0.49,1.323,0.2)
000146,L02,(0.0,0.0,0.0),(0.33299999999999996,0.14400000000000002,0.465)
000156,ES03,(0.0,1.0,1.0),(0.316,1.134,1.118)
000165,C002,(1.0,0.0,5.0),(1.178,0.299,5.702)
000183,ES03,(0.0,1.0,0.0),(0.3,1.154,0.474)
000185,CQ02,(0.0,1.0,0.0),(0.495,1.343,0.266)
000202,C02,(0.0,0.0,0.0),(0.21600000000000003,0.10800000000000001,0.467)
000210,L04,(0.0,1.0,0.0),(0.10300000000000001,1.215,0.149)
000214,C004,(2.0,0.0,11.0),(2.276,0.26,11.151)
000215,MB04,(0.0,1.0,0.0),(0.267,1.442,0.321)
001851,C05,(0.0,1.0,0.0),(0.253,1.112,0.172)
000361,PB05,(1.0,0.0,0.0),(1.308,0.365,0.409)
000375,L03,(0.0,1.0,0.0),(0.107,1.38,0.434)
000141,ES04,(0.0,1.0,0.0),(0.209,1.236,0.222)
000340,LS05,(0.0,0.0,1.0),(0.217,0.175,1.47)
000343,LS05,(0.0,0.0,0.0),(0.47100000000000003,0.128,0.11)
000392,A03,(0.0,0.0,1.0),(0.431,0.479,1.349)
000401,EB02,(0.0,0.0,0.0),(0.12,0.293,0.183)
000409,LS05,(0.0,1.0,0.0),(0.446,1.208,0.315)
000417,MB04,(0.0,0.0,0.0),(0.439,0.153,0.242)
000444,CQ01,(0.0,0.0,0.0),(0.19699999999999998,0.11599999999999999,0.272)
000456,LS05,(0.0,1.0,1.0),(0.48700000000000004,1.385,1.315)
000483,L01,(0.0,3.0,0.0),(0.293,3.117,0.19399999999999998)
000490,TA01,(0.0,1.0,0.0),(0.239,1.4529999999999998,0.428)
000512,C005,(4.0,0.0,7.0),(4.346,0.466,7.329)
000606,CQ01,(0.0,1.0,0.0),(0.109,1.192,0.336)
000671,TA02,(0.0,1.0,0.0),(0.34700000000000003,1.22,0.294)
000678,EB02,(0.0,1.0,0.0),(0.198,1.3900000000000001,0.25)
000693,C004,(8.0,0.0,11.0),(8.148,0.455,11.445)
000739,CQ01,(0.0,3.0,0.0),(0.168,3.126,0.162)
000767,CQ04,(0.0,0.0,0.0),(0.267,0.18899999999999997,0.138)
000775,ES03,(0.0,0.0,1.0),(0.626,0.649,1.015)
000817,CQ03,(0.0,0.0,0.0),(0.223,0.389,0.231)
001865,CC03,(0.0,1.0,0.0),(0.358,1.354,0.253)
001939,ES01,(0.0,0.0,0.0),(0.474,0.242,0.142)
001962,G01,(1.0,1.0,0.0),(1.494,1.252,0.413)
001997,LS03,(0.0,1.0,0.0),(0.48200000000000004,1.495,0.47600000000000003)
000589,wasteContainer,(0.0,1.0,1.0),(0.147,1.263,1.259)
000984,MB03,(0.0,0.0,0.0),(0.122,0.225,0.387)
001003,CQ02,(0.0,0.0,0.0),(0.36200000000000004,0.439,0.11599999999999999)
001035,CC01,(0.0,0.0,0.0),(0.207,0.146,0.124)
001056,C001,(2.0,0.0,7.0),(2.281,0.27699999999999997,7.16)
001078,C005,(0.0,0.0,7.0),(0.888,0.541,7.013)
001101,A03,(0.0,2.0,1.0),(0.22,2.295,1.568)
001104,MB02,(0.0,0.0,0.0),(0.281,0.34700000000000003,0.423)
001116,TA03,(0.0,0.0,0.0),(0.247,0.32299999999999995,0.235)
001126,MB02,(0.0,1.0,0.0),(0.426,1.234,0.215)
001129,TA01,(0.0,0.0,1.0),(0.23,0.244,1.124)
001156,A03,(0.0,1.0,1.0),(0.3,1.156,1.736)
001175,L04,(1.0,1.0,0.0),(1.165,1.309,0.401)
001183,C005,(3.0,0.0,7.0),(3.309,0.445,7.405)
001212,CC02,(0.0,1.0,1.0),(0.401,1.209,1.133)
001220,L02,(0.0,1.0,0.0),(0.18600000000000003,1.191,0.265)
001245,C003,(1.0,0.0,9.0),(1.292,0.25,9.271)
001267,C001,(0.0,0.0,7.0),(0.465,0.27,7.107)
001317,A03,(0.0,1.0,0.0),(0.45,1.307,0.26)
001342,C004,(4.0,0.0,11.0),(4.226,0.222,11.168)
001394,TA01,(0.0,1.0,1.0),(0.289,1.178,1.278)
001398,C003,(2.0,0.0,9.0),(2.116,0.374,9.446)
001409,C001,(3.0,0.0,7.0),(3.193,0.23,7.276)
001460,CQ03,(0.0,1.0,0.0),(0.133,1.234,0.325)
001470,C004,(0.0,0.0,11.0),(0.34700000000000003,0.26899999999999996,11.212)
001485,C002,(2.0,0.0,5.0),(2.193,0.441,5.276)
001524,CQ02,(0.0,1.0,1.0),(0.23800000000000002,1.202,1.11)
001556,A03,(0.0,2.0,0.0),(0.12,2.313,0.231)
001569,CQ02,(0.0,0.0,1.0),(0.23199999999999998,0.182,1.315)
000928,C004,(5.0,0.0,11.0),(5.121,0.26899999999999996,11.131)
001596,CC02,(0.0,0.0,0.0),(0.47100000000000003,0.172,0.249)
001599,TA02,(0.0,0.0,0.0),(0.276,0.298,0.29100000000000004)
001610,EA03,(0.0,0.0,0.0),(0.16699999999999998,0.268,0.109)
001632,C004,(7.0,0.0,11.0),(7.28,0.40299999999999997,11.446)
001651,L03,(0.0,0.0,0.0),(0.13699999999999998,0.324,0.405)
001677,CC02,(0.0,0.0,1.0),(0.21600000000000003,0.336,1.45)
001759,A03,(0.0,3.0,0.0),(0.204,3.257,0.475)
001667,A01,(0.0,0.0,1.0),(0.11,0.115,1.199)
001698,NA01,(1.0,0.0,0.0),(1.266,0.133,0.276)
001720,EA02,(0.0,1.0,0.0),(0.187,1.124,0.281)
001701,A03,(0.0,0.0,0.0),(0.39299999999999996,0.389,0.327)
001733,C004,(9.0,0.0,11.0),(9.462,0.175,11.301)
000510,G04,(0.0,0.0,0.0),(0.245,0.259,0.27399999999999997)
000547,PB04,(0.0,1.0,0.0),(0.402,1.398,0.11599999999999999)
000796,wasteContainer,(0.0,1.0,0.0),(0.205,1.165,0.217)
001742,wasteContainer,(1.0,0.0,1.0),(1.126,0.32899999999999996,1.311)
001999,testContainer,(0.0,0.0,0.0),(0.491,0.27899999999999997,0.435)
001986,A01,(0.0,0.0,0.0),(0.382,0.42200000000000004,0.361)
001993,PB05,(1.0,1.0,0.0),(1.4,1.7040000000000002,0.04)
001989,wasteContainer,(0.0,0.0,1.0),(0.10800000000000001,0.293,1.45)
000197,testContainer,(1.0,0.0,0.0),(1.221,0.41200000000000003,0.41100000000000003)
000198,PB05,(0.0,1.0,0.0),(0.493,1.339,0.486)
000219,L04,(0.0,0.0,0.0),(0.465,0.23600000000000002,0.307)
000223,C004,(3.0,0.0,11.0),(3.378,0.251,11.103)
000241,C003,(6.0,0.0,9.0),(6.18,0.289,9.267)
000259,testContainer,(1.0,1.0,0.0),(1.225,1.296,0.266)
000278,L04,(1.0,0.0,0.0),(1.266,0.205,0.405)
000287,SB04,(0.0,1.0,0.0),(0.196,1.162,0.28800000000000003)
000152,wasteContainer,(1.0,0.0,0.0),(1.123,0.266,0.28)
000192,wasteContainer,(0.0,0.0,0.0),(0.225,0.19399999999999998,0.22699999999999998)
001082,testContainer,(1.0,1.0,1.0),(1.135,1.232,1.111)
001072,G02,(0.0,1.0,0.0),(0.21899999999999997,1.349,0.43799999999999994)
001139,CC03,(0.0,0.0,0.0),(0.49,0.20600000000000002,0.332)
001146,NA02,(0.0,0.0,0.0),(0.426,0.723,0.023)
001239,NA03,(1.0,0.0,0.0),(1.4889999999999999,0.262,0.45899999999999996)
001261,SB02,(0.0,1.0,0.0),(0.11900000000000001,1.211,0.23600000000000002)
001264,NA02,(0.0,1.0,0.0),(0.1,1.166,0.168)
001028,wasteContainer,(1.0,1.0,1.0),(1.168,1.201,1.294)
001032,PB04,(0.0,0.0,0.0),(0.483,0.26899999999999996,0.14800000000000002)
001052,PB01,(0.0,1.0,0.0),(0.363,1.266,0.345)
001148,LS02,(0.0,1.0,0.0),(0.235,1.263,0.95)
